wl;UV_control;Dor_paint;UV_paint;Dor_control
523,12;47,074;7,702;15,905;13,391
523,46;47,135;7,727;16,017;13,364
523,81;47,118;7,76;16,134;13,343
524,15;47,083;7,802;16,26;13,358
524,5;47,001;7,854;16,353;13,397
524,84;46,927;7,897;16,444;13,461
525,19;46,867;7,922;16,495;13,533
525,53;46,89;7,938;16,533;13,594
525,88;46,952;7,958;16,565;13,643
526,22;47,009;7,971;16,589;13,685
526,57;47,075;7,986;16,617;13,729
526,91;47,117;7,994;16,64;13,764
527,26;47,139;8,008;16,663;13,791
527,6;47,164;8,016;16,684;13,818
527,95;47,186;8,031;16,712;13,839
528,29;47,212;8,04;16,748;13,852
528,64;47,218;8,056;16,786;13,872
528,98;47,214;8,071;16,832;13,896
529,33;47,2;8,085;16,868;13,911
529,67;47,196;8,105;16,91;13,949
530,01;47,218;8,113;16,93;13,994
530,36;47,276;8,113;16,939;14,05
530,7;47,354;8,126;16,941;14,129
531,05;47,482;8,133;16,938;14,222
531,39;47,631;8,14;16,944;14,291
531,74;47,816;8,142;16,964;14,339
532,08;47,972;8,145;16,974;14,362
532,43;48,121;8,159;17,015;14,369
532,77;48,185;8,184;17,058;14,384
533,11;48,168;8,205;17,096;14,405
533,46;48,183;8,221;17,132;14,43
533,8;48,18;8,235;17,156;14,451
534,15;48,215;8,249;17,191;14,474
534,49;48,253;8,257;17,217;14,494
534,84;48,316;8,277;17,242;14,524
535,18;48,38;8,297;17,27;14,571
535,52;48,455;8,315;17,292;14,624
535,87;48,566;8,343;17,324;14,662
536,21;48,667;8,362;17,367;14,669
536,56;48,743;8,388;17,435;14,676
536,9;48,782;8,42;17,495;14,676
537,24;48,76;8,462;17,578;14,686
537,59;48,659;8,509;17,651;14,709
537,93;48,586;8,542;17,717;14,747
538,27;48,539;8,578;17,776;14,772
538,62;48,536;8,596;17,817;14,812
538,96;48,556;8,624;17,85;14,87
539,31;48,594;8,643;17,888;14,918
539,65;48,632;8,659;17,915;14,968
539,99;48,693;8,668;17,945;15,006
540,34;48,772;8,68;17,969;15,031
540,68;48,806;8,701;18,007;15,043
541,02;48,835;8,719;18,048;15,05
541,37;48,813;8,739;18,07;15,045
541,71;48,808;8,76;18,105;15,065
542,05;48,774;8,775;18,139;15,073
542,4;48,748;8,786;18,158;15,081
542,74;48,744;8,798;18,177;15,114
543,08;48,756;8,807;18,192;15,155
543,43;48,822;8,822;18,203;15,228
543,77;48,938;8,826;18,199;15,314
544,11;49,087;8,837;18,193;15,386
544,45;49,299;8,848;18,196;15,459
544,8;49,547;8,851;18,206;15,512
545,14;49,756;8,87;18,233;15,557
545,48;49,932;8,889;18,247;15,615
545,83;50,095;8,915;18,269;15,665
